	site	biome	time	date	sitedepth	daynight	tidenumber	sequence	moonphase	tide	timefromtide	lat	lon	precip	offshoreseastate	weather	temp	salinity	doc	tn	po4	no2no3	silicate	no2	nh4	pro	syn	peuk	hbact	algae	cyan	HC	other	PV	rub	sand	SC	sponge	sealevel	sealevel_m
Control-1	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control-2	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control-3	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock-E	mock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock-S	mock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Negative-H2O	PCRnegative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Positive-33	N Atl seawater	eutrophic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
USVItide-15	Fish Bay Seagrass	seagrass	12:53	2017-07-22	1.6	day	1-Low	1	new	Low	4	18.3204429	-64.7633988	none	1.1	partly cloudy	30.31	35.35	69.03	5.42	0.209	-0.01	2.3	0.08	0.18	11433	25158	1772	1311792	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.11	-0.034
USVItide-16	Tektite Reef	reef	12:30	2017-07-22	9.65	day	1-Low	1	new	Low	19	18.3096396	-64.7222252	none	1.1	partly cloudy	29.04	34.91	74.96	0	0.254	0.51	2.4	0.01	0.15	104344	7298	1322	917620	0.468333333	0.035	0.275	0.016666667	0.07	0.025	0.063333333	0.036666667	0.01	-0.13	-0.04
USVItide-25	Yawzi Reef	reef	17:52	2017-07-22	11.5	day	2-Flood	2	new	Flood	45	18.3145005	-64.7260978	none	0.9	fair	29.44	34.92	70.33	0	0.234	0.28	2.2	0.01	0.32	112022	15356	1266	777783	0.278333333	0.001666667	0.166666667	0.018333333	0.37	0.055	0.04	0.033333333	0.036666667	0.72	0.219
USVItide-26	Lameshur Seagrass	seagrass	17:54	2017-07-22	4.74	day	2-Flood	2	new	Flood	47	18.3177881	-64.7232301	none	0.9	fair	29.45	34.93	64.54	2.1	0.173	0.19	2.6	0.07	0.37	117802	20883	1280	787373	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.219
USVItide-27	Tektite Reef	reef	17:51	2017-07-22	11.25	day	2-Flood	2	new	Flood	44	18.3096396	-64.7222252	none	0.9	fair	29.31	34.95	51.98	0	0.197	0.18	2.4	0.08	0.26	111164	15750	1153	676266	0.468333333	0.035	0.275	0.016666667	0.07	0.025	0.063333333	0.036666667	0.01	0.69	0.214
USVItide-28	Cocoloba Reef	reef	17:19	2017-07-22	8.9	day	2-Flood	2	new	Flood	12	18.3154146	-64.7608498	none	0.9	fair	29.54	35.01	83.43	6.96	0.174	0.14	1.9	0.05	0.21	65756	23259	1673	779034	0.393333333	0.001666667	0.031666667	0.003333333	0.215	0.01	0.3	0.038333333	0.006666667	0.57	0.173
USVItide-29	Ditliff Reef	reef	17:12	2017-07-22	9.6	day	2-Flood	2	new	Flood	5	18.3139204	-64.7645268	none	0.9	fair	29.45	34.94	95.52	0	0.165	0.25	2.4	0.06	0.43	104484	15652	1716	667983	0.308333333	0	0.125	0.021666667	0.178333333	0.098333333	0.216666667	0.043333333	0.008333333	0.51	0.154
USVItide-30	Fish Bay Mangrove	mangrove	17:02	2017-07-22	0.6	day	2-Flood	2	new	Flood	5	18.3206508	-64.7621709	none	0.9	fair	34.4	36.37	182.43	9.59	0.218	0.01	3	0.03	0.27	0	2939	984	2109375	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51	0.156
USVItide-31	"Lameshur Mangrove, outlet"	mangrove	18:05	2017-07-22	0.9	day	2-Flood	2	new	Flood	58	18.3185583	-64.7242358	none	0.9	fair	30.68	35.12	118.29	8.72	0.227	0.49	2.4	0.15	0.71	44705	17789	2419	563456	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	0.23
USVItide-32	Fish Bay Seagrass	seagrass	17:07	2017-07-22	1.9	day	2-Flood	2	new	Flood	0	18.3204429	-64.7633988	none	0.9	fair	30.89	35.25	100.93	8.79	0.279	0.25	2.3	0.02	0.28	11461	35128	1561	1331339	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.49	0.148
USVItide-42	Lameshur Seagrass	seagrass	20:53	2017-07-22	4.73	night	3-High	3	new	High	32	18.3177881	-64.7232301	drizzle	0.9	cloudy	29.21	35.05	103.23	10.59	0.2	0.04	2.3	0.07	0.23	135352	82378	1997	962845	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.12	0.342
USVItide-43	Cocoloba Reef	reef	21:15	2017-07-22	8.89	night	3-High	3	new	High	10	18.3154146	-64.7608498	drizzle	0.8	cloudy	29.1	35.01	87.81	4.08	0.199	0.15	2.1	0.05	0.17	131386	38953	2236	759375	0.393333333	0.001666667	0.031666667	0.003333333	0.215	0.01	0.3	0.038333333	0.006666667	1.23	0.373
USVItide-44	Yawzi Reef	reef	21:06	2017-07-22	12.2	night	3-High	3	new	High	14	18.3145005	-64.7260978	drizzle	0.8	cloudy	29.13	35.04	53.28	0	0.182	0.64	2.4	0.11	0.26	132666	63295	2630	817031	0.278333333	0.001666667	0.166666667	0.018333333	0.37	0.055	0.04	0.033333333	0.036666667	1.22	0.372
USVItide-45	Tektite Reef	reef	21:01	2017-07-22	11.1	night	3-High	3	new	High	24	18.3096396	-64.7222252	drizzle	0.8	cloudy	28.74	35.07	60.49	0	0.19	0.01	2.2	0.05	0.09	192516	66938	2138	917269	0.468333333	0.035	0.275	0.016666667	0.07	0.025	0.063333333	0.036666667	0.01	1.19	0.362
USVItide-46	"Lameshur Mangrove, inland"	mangrove	20:35	2017-07-22	0.2	night	3-High	3	new	High	50	18.3202416	-64.7247868	drizzle	0.9	cloudy	NA	NA	205.13	15.79	0.513	0.48	6.2	0.18	2.94	0	19406	6441	4500000	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15	0.349
USVItide-47	"Lameshur Mangrove, outlet"	mangrove	20:40	2017-07-22	1.1	night	3-High	3	new	High	45	18.3185583	-64.7242358	drizzle	0.9	cloudy	29.52	35.06	60.49	0	0.224	0.41	2.4	0.12	0.72	75755	40120	2475	740025	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21	0.368
USVItide-48	Fish Bay Mangrove	mangrove	21:40	2017-07-22	0.64	night	3-High	3	new	High	15	18.3206508	-64.7621709	drizzle	0.8	cloudy	30.93	35.49	87.56	4.98	0.297	0.07	2.6	0.13	0.66	0	27464	1983	1546875	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18	0.358
USVItide-49	Fish Bay Seagrass	seagrass	21:30	2017-07-22	2.06	night	3-High	3	new	High	5	18.3204429	-64.7633988	drizzle	0.8	cloudy	30.53	35.35	80.4	0	0.196	0.12	2.6	0.08	0.43	18534	88566	2813	1687500	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	0.366
USVItide-50	Ditliff Reef	reef	21:20	2017-07-22	8.4	night	3-High	3	new	High	5	18.3139204	-64.7645268	drizzle	0.8	cloudy	29.67	35.11	59.44	6.91	0.197	0.23	1.7	0.08	0.19	52608	43411	2152	876825	0.308333333	0	0.125	0.021666667	0.178333333	0.098333333	0.216666667	0.043333333	0.008333333	1.21	0.369
USVItide-59	Yawzi Reef	reef	5:26	2017-07-23	10.5	night	4-Ebb	4	new	Ebb	6	18.3145005	-64.7260978	none	1.2	cloudy	28.84	34.98	58.95	0	0.179	0.09	2.4	0.06	0.15	197086	33384	2138	852511	0.278333333	0.001666667	0.166666667	0.018333333	0.37	0.055	0.04	0.033333333	0.036666667	0.41	0.124
